"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"4","4","_____ Goblin","unf","Near Mint","English","foil","","2024-03-01 16:18:20.563000","107","False","False",""
"4","4","Abrade","2xm","Near Mint","English","","","2024-02-25 19:42:18.437000","114","False","False",""
"4","4","Acorn Harvest","tor","Near Mint","English","","","2024-04-05 22:35:02.850000","118","False","False",""
"4","4","All That Glitters","cmm","Near Mint","English","foil","","2024-01-29 19:33:08.203000","622","False","False",""
"4","4","Alpine Meadow","khm","Near Mint","English","","","2024-02-25 19:45:52.023000","248","False","False",""
"4","4","Ancient Den","sld","Near Mint","English","foil","","2024-04-05 22:38:01.590000","300","False","False",""
"4","4","Ancient Stirrings","roe","Near Mint","English","","","2024-02-22 00:26:43.550000","174","False","False",""
"4","4","Annul","khm","Near Mint","Portuguese","","","2024-01-14 23:50:57.307000","42","False","False",""
"4","4","Apostle's Blessing","nph","Near Mint","English","","","2024-02-22 00:16:41.010000","2","False","False",""
"3","3","Arboreal Grazer","war","Near Mint","Portuguese","","","2024-02-25 19:38:32.160000","149","False","False",""
"4","4","Archaeomancer","uma","Near Mint","English","foil","","2024-03-01 16:48:34.690000","45","False","False",""
"4","4","Architects of Will","arb","Near Mint","English","","","2024-01-14 23:16:20.360000","17","False","False",""
"3","3","Arctic Treeline","khm","Near Mint","English","","","2024-02-25 19:47:14.067000","249","False","False",""
"4","4","Ardent Elementalist","mid","Near Mint","Portuguese","","","2024-01-14 05:32:00.903000","128","False","False",""
"4","4","Arms of Hadar","clb","Near Mint","English","","","2024-01-14 23:25:08.067000","113","False","False",""
"4","4","Ash Barrens","brc","Near Mint","English","","","2024-02-23 17:53:15.817000","174","False","False",""
"4","4","Augur of Bolas","mm3","Near Mint","English","","","2024-02-22 02:44:09.923000","30","False","False",""
"1","1","Aura Flux","ulg","Near Mint","English","","","2024-02-22 02:55:02.367000","27","False","False",""
"1","1","Axebane Guardian","rtr","Near Mint","English","","","2024-02-25 19:36:47.230000","115","False","False",""
"4","4","Azorius Chancery","brc","Near Mint","English","","","2024-02-27 18:00:52.563000","175","False","False",""
"4","4","Azure Fleet Admiral","cmr","Near Mint","Portuguese","","","2024-03-07 23:38:51.770000","58","False","False",""
"4","4","Barren Moor","mh1","Near Mint","English","","","2024-02-22 03:08:24.817000","236","False","False",""
"1","1","Behold the Multiverse","khm","Near Mint","Portuguese","","","2024-02-22 03:05:01.957000","46","False","False",""
"1","1","Benevolent Bodyguard","jud","Near Mint","English","","","2024-04-13 03:33:04.413000","5","False","False",""
"2","2","Benevolent Bodyguard","ema","Near Mint","English","","","2024-04-13 03:33:19.177000","4","False","False",""
"2","2","Bladeback Sliver","mh1","Near Mint","English","","","2024-04-13 03:31:09.827000","119","False","False",""
"4","4","Blood Celebrant","lgn","Near Mint","English","","","2024-01-14 23:21:45.290000","61","False","False",""
"4","4","Blood Fountain","vow","Near Mint","English","","","2024-03-01 16:45:42.470000","95","False","False",""
"4","4","Blue Elemental Blast","4ed","Near Mint","English","","","2024-01-14 23:41:23.697000","63","False","False",""
"4","4","Bojuka Bog","brc","Near Mint","English","","","2024-02-27 18:01:08.413000","176","False","False",""
"4","4","Boulderbranch Golem","bro","Near Mint","Portuguese","","","2024-02-22 02:04:05.630000","197","False","False",""
"4","4","Brainstorm","sld","Near Mint","English","foil","","2024-03-01 16:50:06.360000","1162","False","False",""
"4","4","Breath Weapon","clb","Near Mint","Portuguese","","","2024-03-11 15:16:52.140000","165","False","False",""
"4","4","Brinebarrow Intruder","khm","Near Mint","Portuguese","","","2024-02-22 03:08:40.733000","49","False","False",""
"4","4","Bring the Ending","one","Near Mint","English","","","2024-01-14 23:50:19.490000","44","False","False",""
"3","3","Brute Force","mm2","Near Mint","Portuguese","","","2024-02-23 20:20:59.983000","108","False","False",""
"4","4","Burning Prophet","war","Near Mint","Portuguese","","","2024-02-22 12:37:17.327000","117","False","False",""
"4","4","Cabal Ritual","tor","Near Mint","English","","","2024-02-22 03:08:48.863000","51","False","False",""
"4","4","Cast Down","2xm","Near Mint","English","","","2024-01-14 23:21:27.843000","79","False","False",""
"4","4","Cast into the Fire","ltr","Near Mint","English","foil","","2024-02-21 12:20:24.570000","569","False","False",""
"1","1","Cave of Temptation","mh1","Near Mint","Portuguese","","","2024-02-22 00:58:46.317000","237","False","False",""
"4","4","Chain Lightning","pd2","Near Mint","English","foil","","2024-03-01 20:44:33.273000","16","False","False","0.00"
"4","4","Chromatic Sphere","inv","Near Mint","English","","","2024-02-22 02:00:59.363000","299","False","False",""
"4","4","Chromatic Star","tsp","Near Mint","Portuguese","","","2024-02-22 02:01:25.030000","251","False","False",""
"2","2","Compulsive Research","rav","Near Mint","English","","","2024-02-22 02:56:13.517000","40","False","False",""
"4","4","Contentious Plan","war","Near Mint","Portuguese","","","2024-01-14 23:52:02.110000","46","False","False",""
"4","4","Counterspell","cmm","Near Mint","English","","","2024-01-14 23:49:34.680000","630","False","False",""
"4","4","Crash Through","hou","Near Mint","Portuguese","","","2024-02-22 12:36:51.600000","88","False","False",""
"4","4","Crimson Acolyte","inv","Near Mint","English","","","2024-03-15 15:06:29.160000","11","False","False",""
"4","4","Crimson Fleet Commodore","cmm","Near Mint","English","foil","","2024-02-21 12:20:59.797000","211","False","False",""
"4","4","Crop Rotation","ulg","Near Mint","English","","","2024-02-22 00:26:57.143000","98","False","False",""
"4","4","Cryptic Serpent","cmm","Near Mint","English","foil","","2024-03-01 16:50:31.697000","83","False","False",""
"1","1","Crystal Grotto","woe","Near Mint","English","","","2024-04-13 03:36:43.720000","254","False","False",""
"2","2","Crystal Grotto","dmu","Near Mint","Portuguese","","","2024-04-13 03:36:25.367000","246","False","False",""
"4","4","Dark Ritual","ice","Near Mint","English","","","2024-01-14 23:23:13.920000","120","False","False",""
"1","1","Darkmoss Bridge","mh2","Near Mint","English","foil","","2024-04-10 19:08:40.350000","245","False","False",""
"4","4","Darkness","40k","Near Mint","Portuguese","","","2024-01-14 23:24:37.827000","197","False","False",""
"4","4","Darksteel Citadel","sld","Near Mint","English","foil","","2024-04-05 22:38:33.420000","608","False","False",""
"4","4","Dawnbringer Cleric","afr","Near Mint","English","","","2024-03-01 16:50:50.013000","9","False","False",""
"4","4","Deadly Dispute","p30a","Near Mint","English","foil","","2024-03-01 16:24:22.060000","29","False","False",""
"4","4","Deep Analysis","cmm","Near Mint","English","","","2024-01-14 23:46:12.443000","86","False","False",""
"4","4","Defile","mh1","Near Mint","English","","","2024-03-15 19:00:30.777000","86","False","False",""
"4","4","Delver of Secrets // Insectile Aberration","isd","Near Mint","English","","","2024-02-22 02:42:38.147000","51","False","False",""
"4","4","Demand Answers","mkm","Near Mint","English","","","2024-03-06 23:01:36.210000","306","False","False",""
"1","1","Devious Cover-Up","grn","Near Mint","Portuguese","","","2024-02-22 03:04:25.303000","35","False","False",""
"4","4","Dihada's Ploy","mh2","Near Mint","English","","","2024-01-14 23:16:34.650000","193","False","False",""
"4","4","Dimir Aqueduct","brc","Near Mint","English","","","2024-02-23 17:52:45.250000","182","False","False",""
"1","1","Dimir Signet","rav","Near Mint","Portuguese","","","2024-02-22 02:06:10.300000","260","False","False",""
