"Count","Name"
3,Agony Warp
4,Alms of the Vein
4,Ancient Grudge
4,Annoyed Altisaur
3,Arashin Cleric
4,Arbor Elf
4,Ardent Recruit
4,Avenging Hunter
4,Axebane Guardian
4,Azorius Guildgate
4,Barbed Batterfist
4,Basilisk Gate
4,Battle Screech
4,Behold the Multiverse
2,Benevolent Bodyguard
4,Blanchwood Prowler
4,Boarding Party
4,Boros Garrison
4,Campfire
4,Candy Trail
4,Chainer's Edict
4,Circle of Protection: Blue
4,Citadel Gate
4,Cleansing Wildfire
4,Consider
4,Contaminated Aquifer
2,Crypt Incursion
4,Crypt Rats
4,Deglamer
4,Destroy Evil
3,Destroy Evil
4,Dread Return
4,Drown in Sorrow
2,Echoing Decay
4,Elvish Mystic
4,Enchantment Alteration
4,Escape Tunnel
4,Exhume
3,Extract a Confession
4,Fallaji Archaeologist
4,Fanatical Offering
4,Fangren Marauder
4,Fiery Temper
1,Galvanic Alchemist
4,Gearseeker Serpent
4,Generous Ent
4,Geothermal Bog
4,Gnaw to the Bone
4,Goblin Blast-Runner
4,Goblin Matron
2,Golgari Rot Farm
4,Goliath Paladin
4,Guardian of the Guildpact
4,Haunted Mire
4,Heap Gate
4,Hunter Sliver
1,Ichor Wellspring
3,Idyllic Beachfront
4,Inspiring Overseer
4,Jaspera Sentinel
1,Kenku Artificer
4,Khalni Garden
4,Kitchen Imp
4,Krark-Clan Shaman
3,Last Breath
4,Llanowar Elves
4,Llanowar Visionary
4,Masked Vandal
4,Meeting of Minds
4,Mental Note
1,Mortuary Mire
4,Mwonvuli Acid-Moss
3,Nature's Chant
2,Negate
2,Nihil Spellbomb
4,Novice Inspector
4,Obscura Storefront
3,Okiba-Gang Shinobi
3,Omen of the Dead
4,Overgrown Battlement
4,Phyrexian Walker
4,Prismatic Strands
4,Pulse of Murasa
2,Qasali Pridemage
2,Quick Sliver
4,Quirion Ranger
4,Radiant Fountain
4,Raffine's Informant
4,Reckoner's Bargain
4,Return to Nature
4,Revoke Existence
4,Rotten Reunion
4,Saruli Caretaker
4,Satyr Wayfinder
4,Scattershot Archer
4,Scoured Barrens
4,Scrapwork Mutt
4,Sea Gate
2,Sentinel Sliver
4,Smash to Dust
16,Snow-Covered Forest
2,Snow-Covered Plains
1,Snow-Covered Swamp
4,Snowfield Sinkhole
3,Spinning Darkness
4,Standard Bearer
4,Stinkweed Imp
3,Stormbound Geist
4,Suffocating Fumes
4,Thriving Grove
4,Troll of Khazad-dûm
4,Troublemaker Ouphe
2,Tuktuk Rubblefort
4,Turn Aside
4,Unexpected Fangs
2,Union of the Third Path
4,Unmake
4,Utopia Sprawl
2,Valakut Invoker
4,Vampire Sovereign
4,Vampire's Kiss
4,Voldaren Epicure
4,Wild Growth
4,Witch's Cottage
2,Wooded Ridgeline
